italian,english
ancora,Still
hanno,they have
stai,you are
fa,does
sua,her
così,Like this
casa,home
uno,one
dove,Where
su,on
vero,True
vuoi,you want
noi,we
due,two
quindi,Therefore
dire,to say
d',d '
delle,from the
quella,that
sempre,Always
altro,other
sto,this
andare,go
ad,to
po,bit
loro,They
devo,I have to
quel,that
forse,Perhaps
li,there
proprio,own
certo,Certain
tempo,time
nella,in the
poi,Then
vi,you
credo,I believe
vita,life
cose,things
sul,on the
quanto,How much
puoi,you can
fuori,out
anni,years
cui,which
andiamo,let's go
dell',of
parte,part
visto,view
qualcuno,someone
all',at
lavoro,Work
voi,you
ciao,HI
dio,God
volta,time
dopo,After
adesso,Now
stata,was
uomo,man
padre,father
devi,you have to
bisogno,need
gia,Already
amico,Friend
ed,and
posto,place
nessuno,Nobody
via,Street
cos',so
fai,you do
signore,Gentleman
meglio,Better
cazzo,fuck
dai,come on
dal,from the
vuole,wants
sembra,it seems
giorno,day
ogni,Everything is fine
modo,way
senza,without
vedere,see
dobbiamo,we have to
signor,Mr
qualche,some
dispiace,sorry
penso,I think
ecco,Here you are
parlare,speak
tra,Between
mamma,mom
già,Already
sarebbe,would be
dalla,from the
troppo,too
fosse,is
possiamo,we can
ce,there is
nuovo,new
male,bad
